order_id,customer_id,restaurant_name,rating
1477147,337525,Hangawi,Not given
1477685,358141,Blue Ribbon Sushi Izakaya,Not given
1477070,66393,Cafe Habana,5
1477334,106968,Blue Ribbon Fried Chicken,3
1478249,76942,Dirty Bird to Go,4
1477224,147468,Tamarind TriBeCa,3
1477894,157711,The Meatball Shop,Not given
1477859,89574,Barbounia,3
1477174,121706,Anjappar Chettinad,5
1477311,39705,Bukhara Grill,5
1477895,143926,Big Wong Restaurant _¤¾Ñ¼,Not given
1478437,221206,Empanada Mama (closed),5
1476966,129969,Blue Ribbon Fried Chicken,5
1477449,104548,Pylos,3
1478198,62667,Lucky's Famous Burgers,Not given
1477414,66222,Shake Shack,5
1477486,104555,Sushi of Gari,Not given
1477373,139885,Blue Ribbon Sushi Izakaya,Not given
1477138,47280,RedFarm Hudson,4
1477354,67487,Blue Ribbon Sushi,4
1478296,250494,Five Guys Burgers and Fries,4
1478226,137565,Shake Shack,Not given
1478287,150599,Shake Shack,5
1478014,54630,Tortaria,Not given
1476714,363783,Cafe Mogador,Not given
1476693,41877,Cafe Mogador,5
1476995,371590,The Meatball Shop,5
1476844,175290,Otto Enoteca Pizzeria,Not given
1477015,76686,Vezzo Thin Crust Pizza,Not given
1476889,149984,Sushi of Gari 46,Not given
1478289,318874,The Kati Roll Company,5
1477699,302790,Klong,5
1476855,317794,5 Napkin Burger,Not given
1477748,105349,TAO,Not given
1478244,181782,Parm,5
1478310,65224,Sushi Samba,Not given
1478017,148649,Blue Ribbon Sushi,4
1476871,118709,The Meatball Shop,4
1477999,208020,Haru Gramercy Park,5
1476891,220693,Shake Shack,Not given
1477425,378482,Chipotle Mexican Grill $1.99 Delivery,4
1478143,337525,TAO,Not given
1477267,133637,RedFarm Broadway,5
1477728,107909,Cafeteria,Not given
1476908,365237,Five Guys Burgers and Fries,5
1476581,322162,The Meatball Shop,5
1476930,198802,DuMont Burger,5
1477621,122864,Sarabeth's East,4
1478354,52037,Blue Ribbon Fried Chicken,Not given
1477251,81110,Hill Country Fried Chicken,5
1477656,300003,Bistango,Not given
1477883,91817,Blue Ribbon Fried Chicken,Not given
1477205,112036,TAO,5
1478107,73895,RedFarm Broadway,Not given
1477760,130507,Jack's Wife Freda,3
1476562,129486,Mamoun's Falafel,3
1477692,313340,Sushi of Gari 46,3
1477889,177250,RedFarm Hudson,5
1477243,176234,Prosperity Dumpling,5
1477560,371677,Blue Ribbon Fried Chicken,Not given
1476896,388918,Blue Ribbon Fried Chicken,Not given
1478327,68551,Blue Ribbon Sushi Bar & Grill,Not given
1476820,152786,Cafe Habana,4
1478121,62980,Westville Hudson,Not given
1478077,82041,Shake Shack,Not given
1478359,361616,Blue Ribbon Brooklyn,3
1476841,398426,RedFarm Broadway,4
1477125,130820,Nobu Next Door,5
1477915,200074,Osteria Morini,Not given
1477475,65009,Blue Ribbon Fried Chicken,5
1477932,170221,Shake Shack,Not given
1476651,58092,Shake Shack,5
1477730,50616,Parm,Not given
1477518,133202,Sushi Samba,5
1477821,277898,Haandi,4
1477104,77341,The Meatball Shop,Not given
1477921,97079,Benihana,5
1477938,150002,The Kati Roll Company,5
1476943,87472,RedFarm Hudson,Not given
1477581,231061,Han Dynasty,4
1477975,56722,Shake Shack,5
1477601,107909,Cafeteria,4
1477790,133617,Shake Shack,4
1477385,67538,Chipotle Mexican Grill $1.99 Delivery,5
1478423,129969,The Meatball Shop,Not given
1477051,57174,Tortaria,Not given
1476796,78939,Nobu Next Door,3
1478031,309513,Otto Enoteca Pizzeria,5
1477740,129798,TAO,4
1478384,184085,Hill Country Fried Chicken,5
1478183,329710,Shake Shack,3
1477569,65009,Chote Nawab,5
1478211,154030,RedFarm Hudson,4
1476635,86731,Mission Cantina,5
1477646,306119,Xi'an Famous Foods,Not given
1477027,164016,Blue Ribbon Fried Chicken,Not given
1476921,121476,Blue Ribbon Fried Chicken,3
1476689,305522,Shake Shack,4
1477767,68976,Sarabeth's East,3
1476582,60703,Cafe Habana,Not given
1478169,80460,Rubirosa,3
1477702,128600,Blue Ribbon Fried Chicken,Not given
1477240,142356,Blue Ribbon Sushi,4
1476564,83287,Five Guys Burgers and Fries,5
1478408,134152,The Meatball Shop,Not given
1477824,345899,TAO,4
1477617,38050,Blue Ribbon Sushi,5
1477978,259341,Joe's Shanghai _Àü£¾÷´,5
